campaign,run,decision,summary,ledger
free_velocity_curriculum,S1,HISTORICAL,forward only; 2/7 gates,history/archived_provenance
free_velocity_curriculum,S2,HISTORICAL,stand added; 2/7 gates,history/archived_provenance
free_velocity_curriculum,S3,HISTORICAL,wider forward/backward; 4/7 gates,history/archived_provenance
free_velocity_curriculum,S4,HISTORICAL,turning added; 5/7 gates,history/archived_provenance
free_velocity_curriculum,S5,HISTORICAL,reverse/lateral added; 6/7 gates,history/archived_provenance
free_velocity_curriculum,S6,HISTORICAL,start/stop transitions; torque saturation remained; 6/7 gates,history/archived_provenance
walk_ref/loop_runs,baseline,BASELINE,corrected fixed-baseline protocol passed,history/walk_ref_22_runs.csv
walk_ref/loop_runs,run_01,KEEP,corrected fixed-baseline protocol passed,history/walk_ref_22_runs.csv
walk_ref/loop_runs,run_02,REJECT,acceleration exceeds 120% of original baseline,history/walk_ref_22_runs.csv
walk_ref/loop_runs,run_03,REJECT,acceleration exceeds 120% of original baseline,history/walk_ref_22_runs.csv
walk_ref/loop_runs,run_04,REJECT,acceleration exceeds 120% of original baseline; peak-speed guard failed,history/walk_ref_22_runs.csv
walk_ref/loop_runs,run_05,REJECT,acceleration exceeds 120% of original baseline,history/walk_ref_22_runs.csv
walk_ref/loop_runs,run_06,KEEP,corrected fixed-baseline protocol passed,history/walk_ref_22_runs.csv
walk_ref/loop_runs,run_07,REJECT,acceleration exceeds 120% of original baseline; peak-speed guard failed,history/walk_ref_22_runs.csv
walk_ref/loop_runs,run_08,REJECT,acceleration exceeds 120% of original baseline,history/walk_ref_22_runs.csv
walk_ref/refinement_runs,start_recheck,START,audited best valid checkpoint; fixed original-baseline cap,history/walk_ref_22_runs.csv
walk_ref/refinement_runs,run_01,REJECT,peak must be below 0.40 m/s; no improvement under refinement priorities,history/walk_ref_22_runs.csv
walk_ref/refinement_runs,run_02,REJECT,no improvement under refinement priorities,history/walk_ref_22_runs.csv
walk_ref/refinement_runs,run_03,KEEP,refinement priorities improved; all mandatory guards passed,history/walk_ref_22_runs.csv
walk_ref/refinement_runs,run_04,KEEP,refinement priorities improved; all mandatory guards passed,history/walk_ref_22_runs.csv
walk_ref/refinement_runs,run_05,KEEP,refinement priorities improved; all mandatory guards passed,history/walk_ref_22_runs.csv
walk_ref/refinement_runs,run_06,REJECT,no improvement under refinement priorities,history/walk_ref_22_runs.csv
walk_ref/refinement_runs,run_07,REJECT,no improvement under refinement priorities,history/walk_ref_22_runs.csv
walk_ref/refinement_runs,run_08,REJECT,no improvement under refinement priorities,history/walk_ref_22_runs.csv
walk_ref/quality_runs,baseline,BASELINE,retained gait remeasured; exact scalar metrics,history/walk_ref_22_runs.csv
walk_ref/quality_runs,run_01,REJECT,mean speed outside constraint; body_bobbing_detrended_rms_m exceeds baseline,history/walk_ref_22_runs.csv
walk_ref/quality_runs,run_02,KEEP,physical gait quality improved; speed/cadence and baseline quality guards passed,history/walk_ref_22_runs.csv
walk_ref/quality_runs,run_03,REJECT,mean speed outside constraint,history/walk_ref_22_runs.csv
walk_ref/quality_runs,run_04,KEEP,physical gait quality improved; speed/cadence and baseline quality guards passed,history/walk_ref_22_runs.csv
walk_ref/quality_runs,run_05,KEEP,physical gait quality improved; speed/cadence and baseline quality guards passed,history/walk_ref_22_runs.csv
walk_ref/quality_runs,run_06,REJECT,quality score did not improve,history/walk_ref_22_runs.csv
natural_walk,locomotion_1,BASELINE,vx=0.1929352581501007; accel=11.00019359588623; slip=0.24696991133054752,history/natural_walk_runs.csv
natural_walk,attempt_01,REJECT,vx=0.19114354252815247; accel=11.07791805267334; slip=0.24338027540499146,history/natural_walk_runs.csv
natural_walk,attempt_02,REJECT,vx=0.184947207570076; accel=11.551488876342773; slip=0.2296798854787383,history/natural_walk_runs.csv
natural_walk,attempt_03,REJECT,vx=0.1863054484128952; accel=11.534089088439941; slip=0.21813570724746217,history/natural_walk_runs.csv
locomotion2_amp,run_01,REJECT (two real defects; see run_02/run_03),"Excellent velocity tracking 0.10-0.30 m/s (RMSE 0.013-0.019 vx.std<0.02) low tilt 100% survival incl 60s sustained. BUT: stand (vx=0) falls 100% of the time (idle was <0.5% of expert buffer). ALSO: fl+br contact duty exactly 0.0 during walking -- visually confirmed via video (camera pans with real forward motion but legs stay in a static crouch, not cycling) -- a degenerate static-drag/slide gait on 2 planted+sliding legs, not a real quadruped stride.",history/amp_runs.csv
locomotion2_amp,run_02,KEEP for standing fix; gait quality issue carries to run_03,"Standing FIXED: 6/6 eval gates pass (was 4/6). vx=0 survival 100% roll/pitch 0.4/0.1deg (was falling 100% of the time). Walking still tracks well (RMSE 0.005-0.011 for vx>=0.2). Contact-duty asymmetry improved (0.4/0.4/0.2/0.2 vs run_01's 0.67/0.33/0/0) but instrumented joint-trace diagnostic (diagnose_gait_cycle.py, bypasses ambiguous video) proves the walk is STILL not a real stride: all 12 leg joints show only 0.03-0.13 rad (2-7deg) ptp swing and paw lift is only 4-8mm (expert dog data shows ~40-50mm) -- a near-static pose achieving forward motion mostly via high-frequency jitter + foot slip (200-250mm/s), not genuine stepping.",history/amp_runs.csv
locomotion2_amp,run_03,KEEP (harmless,"6/6 eval gates still pass (standing/walking/60s-sustained all fine, tracking RMSE 0.009-0.038). But instrumented diagnostic shows only MARGINAL amplitude improvement (paw lift 3-9mm vs run_02's 4-8mm, joint swings 0.05-0.14 rad vs 0.03-0.13 rad) -- root cause identified: the degenerate gait's dominant frequency is 6-12 Hz, so a foot cycling that fast only spends ~0.04-0.08s per phase, never approaching the 0.35s air/contact-time threshold. The bound literally never fires on this failure mode -- wrong lever.",history/amp_runs.csv
